date,open,high,low,close
2019-07-16,10.9712556800,10.9869625600,10.7670662400,10.7984800000
2019-07-17,10.7592128000,10.8456006400,10.6885318400,10.7513593600
2019-07-18,10.7199456000,10.8456006400,10.6492646400,10.7356524800
2019-07-19,10.7906265600,11.0576435200,10.7435059200,10.9869625600
2019-07-22,10.9634022400,11.0105228800,10.8063334400,10.8770144000
2019-07-23,10.8848678400,10.8927212800,10.7199456000,10.8063334400
2019-07-24,10.8927212800,11.0026694400,10.8298937600,10.9005747200
2019-07-25,10.9319884800,11.2068588800,10.8770144000,11.1518848000
2019-07-26,11.1361779200,11.1911520000,11.0576435200,11.1754451200
2019-07-29,11.1911520000,11.3482208000,11.1361779200,11.2225657600
2019-07-30,11.2382726400,11.4267552000,11.2225657600,11.2853932800
2019-07-31,11.2304192000,11.2461260800,11.0576435200,11.0969107200
2019-08-01,11.0419366400,11.1440313600,10.9476953600,11.0733504000
2019-08-02,10.8141868800,10.9005747200,10.7277990400,10.7906265600
2019-08-05,10.6806784000,10.7120921600,10.4215148800,10.4843424000
2019-08-06,10.2880064000,10.5707302400,10.2330323200,10.5000492800
2019-08-07,10.5942905600,10.7120921600,10.5000492800,10.6335577600
2019-08-08,10.9162816000,11.3874880000,10.8770144000,11.2932467200
2019-08-09,11.4267552000,11.6623584000,11.3325139200,11.4031948800
2019-08-12,11.4738758400,11.8744012800,11.4660224000,11.8744012800
2019-08-13,11.7801600000,11.8429875200,11.5759705600,11.6937721600
2019-08-14,11.8901081600,11.9529356800,11.6230912000,11.7565996800
2019-08-15,11.4974361600,11.7487462400,11.4660224000,11.7330393600
2019-08-16,11.8508409600,11.8901081600,11.6073843200,11.7016256000
2019-08-19,11.7094790400,11.7330393600,11.4031948800,11.7173324800
